,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
0,,2019,1,1,June-Reg,Adley Rutschman,Baltimore Orioles,c,8.10,Yes,MLB,2022-2023,2017-2023,College,Oregon State,OR,c-dh,6-2,230,B,R,1998-02-06,"Portland,OR"
1,,2019,1,2,June-Reg,Bobby Witt,Kansas City Royals,ss,7.79,Yes,MLB,2022-2023,2019-2023,HS,"Colleyville Heritage (Colleyville,TX)",TX,ss-3b,6-1,200,R,R,2000-06-14,"Colleyville,TX"
2,,2019,1,3,June-Reg,Andrew Vaughn,Chicago White Sox,1b,7.22,Yes,MLB,2021-2023,2017-2023,College,California,CA,rf-lf,6-0,215,R,R,1998-04-03,"Santa Rosa,CA"
3,,2019,1,4,June-Reg,JJ Bleday,Miami Marlins,of,6.67,Yes,MLB,2022-2023,2017-2023,College,Vanderbilt,TN,cf-lf,6-3,205,L,L,1997-11-10,"Danville,PA"
4,,2019,1,5,June-Reg,Riley Greene,Detroit Tigers,of,6.18,Yes,MLB,2022-2023,2019-2023,HS,"Hagerty (Oviedo,FL)",FL,cf,6-3,200,L,L,2000-09-28,"Orlando,FL"
5,,2019,1,6,June-Reg,CJ Abrams,San Diego Padres,ss,5.20,Yes,MLB,2022-2023,2019-2023,HS,"Blessed Trinity Catholic (Roswell,GA)",GA,ss,6-2,191,L,R,2000-10-03,"Alpharetta,GA"
6,,2019,1,7,June-Reg,Nick Lodolo,Cincinnati Reds,p,5.43,Yes,MLB,2022-2023,2017-2023,College,Texas Christian,TX,p,6-6,216,L,L,1998-02-05,"La Verne,CA"
7,,2019,1,8,June-Reg,Josh Jung,Texas Rangers,3b,4.40,Yes,MLB,2022-2023,2017-2023,College,Texas Tech,TX,3b,6-2,214,R,R,1998-02-12,"San Antonio,TX"
8,,2019,1,9,June-Reg,Shea Langeliers,Atlanta Braves,c,4.00,Yes,MLB,2022-2023,2017-2023,College,Baylor,TX,c-dh,6-0,205,R,R,1997-11-18,"Portland,OR"
9,,2019,1,10,June-Reg,Hunter Bishop,San Francisco Giants,of,4.10,Yes,A+,--,2017-2022,College,Arizona State,AZ,cf-rf,6-5,210,L,R,1998-06-25,"San Carlos,CA"
10,,2019,1,11,June-Reg,Alek Manoah,Toronto Blue Jays,p,4.55,Yes,MLB,2021-2023,2017-2023,College,West Virginia,WV,p,6-6,285,R,R,1998-01-09,"Homestead,FL"
11,,2019,1,12,June-Reg,Brett Baty,New York Mets,3b,3.90,Yes,MLB,2022-2023,2019-2023,HS,"Lake Travis (Austin,TX)",TX,3b,6-3,210,L,R,1999-11-13,"Round Rock,TX"
