,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
0,,2022,1,1,June-Reg,Jackson Holliday,Baltimore Orioles,ss,8.19,Yes,A+,--,2022-2023,HS,"Stillwater (Stillwater,OK)",OK,ss-2b,6-0,185,L,R,2003-12-04,"Austin,TX"
1,,2022,1,2,June-Reg,Druw Jones,Arizona Diamondbacks,of,8.19,Yes,A,--,2023-2023,HS,"The Wesleyan School (Norcross,GA)",GA,of,6-4,180,R,R,2003-11-28,"Atlanta,GA"
2,,2022,1,3,June-Reg,Kumar Rocker,Texas Rangers,rhp,5.20,Yes,A+,--,2019-2023,FA,New York,NY,p,6-5,245,R,R,1999-11-22,"Watkinsville,GA"
3,,2022,1,4,June-Reg,Termarr Johnson,Pittsburgh Pirates,ss,7.22,Yes,A,--,2022-2023,HS,"Mays (Atlanta,GA)",GA,2b-ss,5-7,175,L,R,2004-06-11,"Atlanta,GA"
4,,2022,1,5,June-Reg,Elijah Green,Washington Nationals,of,6.50,Yes,A,--,2022-2023,HS,"IMG Academy (Bradenton,FL)",FL,cf,6-3,225,R,R,2003-12-04,"Windermere,FL"
5,,2022,1,6,June-Reg,Jacob Berry,Miami Marlins,3b,6.00,Yes,A+,--,2021-2023,College,LSU,LA,3b,6-0,212,B,R,2001-05-05,"Cortez,AZ"
6,,2022,1,7,June-Reg,Cade Horton,Chicago Cubs,rhp,4.45,Yes,A+,--,2022-2023,College,Oklahoma,OK,p-ss,6-1,211,R,R,2001-08-20,"Oklahoma City,OK"
7,,2022,1,8,June-Reg,Brooks Lee,Minnesota Twins,ss,5.68,Yes,AA,--,2020-2023,College,Cal Poly,CA,ss,6-2,205,B,R,2001-02-14,"San Luis Obispo,CA"
8,,2022,1,9,June-Reg,Gavin Cross,Kansas City Royals,of,5.20,Yes,A+,--,2020-2023,College,Virginia Tech,VA,of,6-3,210,L,L,2001-02-13,"Bristol,TN"
9,,2022,1,10,June-Reg,Gabriel Hughes,Colorado Rockies,rhp,4.00,Yes,A+,--,2020-2023,College,Gonzaga,WA,p,6-4,220,R,R,2001-08-22,"Anchorage,AK"
10,,2022,1,11,June-Reg,Kevin Parada,New York Mets,c,5.02,Yes,A+,--,2021-2023,College,Georgia Tech,GA,c,6-1,197,R,R,2001-08-03,"Pasadena,CA"
11,,2022,1,12,June-Reg,Jace Jung,Detroit Tigers,2b,4.59,Yes,A+,--,2020-2023,College,Texas Tech,TX,2b,6-0,205,L,R,2000-10-04,"San Antonio,TX"
12,,2022,1,13,June-Reg,Zach Neto,Los Angeles Angels,ss,3.50,Yes,MLB,2023-2023,2020-2023,College,Campbell,NC,ss,6-0,185,R,R,2001-01-31,"Miami,FL"
13,,2022,1,14,June-Reg,Jett Williams,New York Mets,ss,3.90,Yes,A,--,2022-2023,HS,"Rockwall-Heath (Rockwall,TX)",TX,ss,5-8,175,R,R,2003-11-03,"Dallas,TX"
14,,2022,1,15,June-Reg,Dylan Lesko,San Diego Padres,rhp,3.90,Yes,--,--,--,HS,"Buford (Buford,GA)",GA,p,6-2,195,R,R,2003-09-07,"Atlanta,GA"
15,,2022,1,16,June-Reg,Chase DeLauter,Cleveland Guardians,of,3.75,Yes,College,--,2020-2022,College,James Madison,VA,of,6-4,235,L,L,2001-10-08,"Frederick,MD"
16,,2022,1,17,June-Reg,Justin Crawford,Philadelphia Phillies,of,3.89,Yes,A,--,2022-2023,HS,"Bishop Gorman (Las Vegas,NV)",NV,cf,6-3,175,L,R,2004-01-13,"Phoenix,AZ"
17,,2022,1,18,June-Reg,Cam Collier,Cincinnati Reds,3b,5.00,Yes,A,--,2022-2023,College,Chipola,FL,3b,6-2,210,L,R,2004-11-20,"Chicago,IL"
18,,2022,1,19,June-Reg,Daniel Susac,Oakland Athletics,c,3.53,Yes,A+,--,2021-2023,College,Arizona,AZ,c,6-4,218,R,R,2001-05-14,"Roseville,CA"
19,,2022,1,20,June-Reg,Owen Murphy,Atlanta Braves,rhp,2.56,Yes,A,--,2022-2023,HS,"Riverside-Brookfield (Brookfield,IL)",IL,p,6-1,190,R,R,2003-09-27,"Chicago,IL"
20,,2022,1,21,June-Reg,Cole Young,Seattle Mariners,ss,3.30,Yes,A,--,2022-2023,HS,"North Allegheny (Wexford,PA)",PA,ss-2b,6-0,180,L,R,2003-07-29,"Pittsburgh,PA"
21,,2022,1,22,June-Reg,Cooper Hjerpe,St. Louis Cardinals,lhp,3.18,Yes,A+,--,2020-2023,College,Oregon State,OR,p,6-3,200,L,L,2001-03-16,"Davis,CA"
22,,2022,1,23,June-Reg,Brandon Barriera,Toronto Blue Jays,lhp,3.60,Yes,A,--,2023-2023,HS,"American Heritage (Plantation,FL)",FL,p,6-2,180,L,L,2004-03-04,"Brooklyn,NY"
23,,2022,1,24,June-Reg,Mikey Romero,Boston Red Sox,ss,2.30,Yes,A,--,2022-2022,HS,"Orange Lutheran (Orange,CA)",CA,ss-2b,6-1,175,L,R,2004-01-12,"San Diego,CA"
24,,2022,1,25,June-Reg,Spencer Jones,New York Yankees,of,2.88,Yes,A+,--,2020-2023,College,Vanderbilt,TN,cf,6-7,225,L,L,2001-05-14,"Encinitas,CA"
25,,2022,1,26,June-Reg,Noah Schultz,Chicago White Sox,lhp,2.80,Yes,A,--,2023-2023,HS,"Oswego East (Oswego,IL)",IL,p,6-9,220,L,L,2003-08-05,"Naperville,IL"
26,,2022,1,27,June-Reg,Eric Brown,Milwaukee Brewers,ss,2.05,Yes,A+,--,2020-2023,College,Coastal Carolina,SC,ss,5-10,190,R,R,2000-12-19,"Tucson,AZ"
27,,2022,1,28,June-Reg,Drew Gilbert,Houston Astros,of,2.50,Yes,AA,--,2020-2023,College,Tennessee,TN,cf,5-9,185,L,L,2000-09-27,"St. Paul,MN"
28,,2022,1,29,June-Reg,Xavier Isaac,Tampa Bay Rays,1b,2.55,Yes,A,--,2022-2023,HS,"East Forsyth (Kernersville,NC)",NC,1b,6-4,240,L,L,2003-12-17,"Fayetteville,NC"
