,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
0,,2017,1,1,June-Reg,Royce Lewis,Minnesota Twins,ss,6.73,Yes,MLB,2022-2023,2017-2023,HS,"JSerra Catholic (San Juan Capistrano,CA)",CA,ss,6-2,200,R,R,1999-06-05,"Aliso Viejo,CA"
1,,2017,1,2,June-Reg,Hunter Greene,Cincinnati Reds,p,7.23,Yes,MLB,2022-2023,2017-2023,HS,"Notre Dame (Sherman Oaks,CA)",CA,p,6-5,242,R,R,1999-08-06,"Los Angeles,CA"
2,,2017,1,3,June-Reg,MacKenzie Gore,San Diego Padres,p,6.70,Yes,MLB,2022-2023,2017-2023,HS,"Whiteville (Whiteville,NC)",NC,p,6-2,192,L,L,1999-02-24,"Wilmington,NC"
3,,2017,1,4,June-Reg,Brendan McKay,Tampa Bay Rays,1b,7.01,Yes,MLB,2019-2019,2015-2022,College,Louisville,KY,p,6-2,220,L,L,1995-12-18,"Darlington,PA"
4,,2017,1,5,June-Reg,Kyle Wright,Atlanta Braves,p,7.00,Yes,MLB,2018-2023,2015-2023,College,Vanderbilt,TN,p,6-4,215,R,R,1995-10-02,"Huntsville,AL"
5,,2017,1,6,June-Reg,Austin Beck,Oakland Athletics,of,5.30,Yes,AAA,--,2017-2022,HS,"North Davidson (Lexington,NC)",NC,rf-cf,6-1,200,R,R,1998-11-21,"Winston-Salem,NC"
6,,2017,1,7,June-Reg,Pavin Smith,Arizona Diamondbacks,1b,5.02,Yes,MLB,2020-2023,2015-2023,College,Virginia,VA,rf-dh,6-2,208,L,L,1996-02-06,"Jupiter,FL"
7,,2017,1,8,June-Reg,Adam Haseley,Philadelphia Phillies,of,5.10,Yes,MLB,2019-2023,2015-2023,College,Virginia,VA,cf-lf,6-1,190,L,L,1996-04-12,"Windermere,FL"
8,,2017,1,9,June-Reg,Keston Hiura,Milwaukee Brewers,2b,4.00,Yes,MLB,2019-2022,2015-2023,College,UC Irvine,CA,1b-2b,6-0,202,R,R,1996-08-02,"Valencia,CA"
9,,2017,1,10,June-Reg,Jo Adell,Los Angeles Angels,of,4.38,Yes,MLB,2020-2022,2017-2023,HS,"Ballard (Louisville,KY)",KY,lf-rf,6-3,215,R,R,1999-04-08,"Shelby,NC"
