,School
3,Louisville
4,Vanderbilt
6,Virginia
8,UC Irvine
10,Missouri State
14,North Carolina
15,South Carolina
16,Kentucky
17,Florida
19,Oregon
23,Missouri
24,Houston
26,St Col of FL
27,Central Florida
29,LSU
30,Oregon State
32,South Florida
34,Mississippi State
37,Wake Forest
44,Cal Poly
46,UCLA
50,NC State
55,Texas A&M
56,Chipola
61,Texas
66,Loyola Marymount
67,Milwaukee
73,Xavier
74,Arizona
78,Florida State
82,Cal State Fullerton
85,Furman
86,New Mexico
89,Iowa Western CC
90,Grayson County
91,Arkansas
92,Gonzaga
94,Washington
96,Stanford
97,Jacksonville
98,San Diego
100,UNC Charlotte
102,William and Mary
103,Oral Roberts
104,Auburn
105,Clemson
108,St. Mary's (CA)
109,Santa Fe CC
115,St. Johns River CC
119,Lipscomb
120,Notre Dame
122,Dallas Baptist
124,Palm Beach State
125,Tampa
126,Kennesaw State
128,Maryland
136,SE Louisiana
138,Webster
139,Mount Olive
147,Saint Joseph's
148,UC Riverside
151,Rice
152,Long Beach State
159,Utah
161,Texas Christian
163,Kent State
166,Oklahoma State
167,Morehead State
168,Old Dominion
169,Tennessee
178,Southern Miss
179,Arkansas State
180,Iowa
181,Augustana-SD
182,Michigan
185,Sam Houston State
186,New Mexico State
189,Connecticut
190,Seton Hall
195,Central Arizona College
197,Rider
198,Villanova
199,Georgia Southern
202,Lincoln Land CC
204,Mercer County CC
205,Minnesota
209,Alabama-Birmingham
210,Texas Tech
212,Wabash Valley College
215,University at Buffalo
216,CSUN
223,Monroe CC
224,Fresno State
225,Western Carolina
226,Illinois-Chicago
227,Faulkner
228,Col of Idaho
229,Lenoir-Rhyne
234,USC Aiken
237,Kansas
238,South Alabama
239,Central Oklahoma
241,Radford
242,Coastal Carolina
244,Pepperdine
247,Fordham
250,Oakland
252,Samford
253,Itawamba CC
254,MIT
256,Virginia Tech
258,Georgia
259,Middle Tenn State
266,Indiana
267,Mesa State College
268,Hope Intl
271,Texas-Arlington
273,East Carolina
275,St. Bonaventure
279,Evansville
280,Pomona-Pitzer
281,Bryant University
282,Michigan State
284,Memphis
289,Lock Haven Pennsylvania
290,Cal State Bakersfield
291,Lewis-Clark Idaho
293,Niagara
295,Oklahoma
296,Dartmouth
297,California
298,Kansas State
300,Southern Illinois
302,San Diego State
306,Adams State
307,Sacramento State
310,St. John's
315,Georgia Tech
316,Wichita State
327,Stetson
335,Mississippi
365,Duke
369,Florida Atlantic
372,UNC Wilmington
374,McLennan CC
381,West Virginia
385,Le Moyne
393,Grand Canyon
395,Illinois
397,Illinois State
398,Louisiana-Lafayette
406,Texas A&M-Corpus Christi
407,UNLV
415,Maine
416,Towson
417,Hofstra
419,Wallace State CC
433,Tulane
438,Crowder
439,Ohio State
440,North Florida
441,Tennessee Tech
442,Wright State
446,Wofford
455,John A. Logan
460,Mercyhurst
465,Mercer
470,Troy
474,Arizona State
478,Whitworth
485,UNC-Greensboro
491,Southern Nevada
493,Saint Louis
505,Pittsburgh
507,New Orleans
508,Grossmont
514,Rutgers
521,Nova Southeastern
523,Cal State Stanislaus
525,Central Arkansas
527,Va Military Inst.
528,Northwestern State
531,Liberty
539,USC
544,Santa Clara
547,Miami
548,Elon
553,Cisco Junior College
554,Canisius College
560,Bucknell
561,George Mason
563,Saint Thomas
568,Seattle
569,Central Baptist
580,Alabama
594,Lamar
595,Nebraska
603,Cincinnati
605,Carson-Newman
608,Saint Catharine
610,Purdue
614,Western Kentucky
618,Florida Southern
636,Baylor
644,San Jacinto
661,Ball State
667,Campbell
724,Lehigh
729,Butler
744,Creighton
756,Shepherd University
764,Navy
767,Boston College
770,UC Santa Barbara
772,San Jose State
777,SJ Delta College
781,Nevada
783,Florida Intl
787,Georgia State
793,Wayne State University
796,Penn State
808,Winthrop
810,Brigham Young
818,Eastern Kentucky
827,Texas-San Antonio
848,James Madison
852,Northwestern
855,College of Charleston
867,George Washington
883,Miami Dade
885,VCU
886,Indiana State
893,Yale
897,Ohio
900,Texas State
904,Cowley College
908,Fresno City
920,Lincoln Memorial
922,West Texas A&M
930,Lubbock Christian
934,Miss Gulf Coast
937,Franklin Pierce
939,Antelope Valley College
941,Harvard
964,Eastern Illinois
1007,Washington State
1035,Golden West
1040,SE Missouri State
1041,Gardner-Webb
1051,Purdue-NW
1068,Bradley
1121,Florida SW
1128,Quincy
1130,Hawaii
1149,Eastern OK ST
1165,Lee University
1168,Biola
1169,USC-Upstate
1184,Florence-Darlington Tech
1203,Louisiana Tech
1215,Angelo State
1220,McNeese State
1224,British Columbia
1227,Eastern Michigan
1228,Rowan-Gloucester
1245,Azusa Pacific
1252,San Francisco
1254,Quinnipiac
1255,North Carolina Central
1336,Central Michigan
1374,NW Florida State
1389,Monmouth
1400,Notre Dame College
1407,Belmont
1411,Riverside CC
1418,Cal Poly Pomona
1419,Davidson
1460,Toledo
1476,Northeastern
1485,Youngstown State
1492,Valparaiso
1527,California Baptist
1538,Portland
1541,Assumption College
1543,SIU-Edwardsville
1548,Wingate
1557,South Mountain CC
1562,Queens of NC
1570,Westmont College
