School,Latitude,Longitude
"JSerra Catholic (San Juan Capistrano,CA)",33.5208645,-117.6682319
"Notre Dame (Sherman Oaks,CA)",34.1586311,-118.4301766
"Whiteville (Whiteville,NC)",34.3387802,-78.7030721
"North Davidson (Lexington,NC)",35.8240265,-80.2533838
"Ballard (Louisville,KY)",38.2512613,-85.7395879
"Concordia Lutheran (Spring,TX)",31.9685988,-99.9018131
"Carlsbad (Carlsbad,NM)",32.4203395,-104.2289925
"Huntington Beach (Huntington Beach,CA)",33.6594835,-117.9988026
"Leadership Christian Academy (Guaynabo,PR)",18.3741573,-66.0973627
"Valdosta (Valdosta,GA)",30.8327022,-83.2784851
"McGill-Toolen (Mobile,AL)",30.6892674,-88.0723447
"West Orange (Winter Garden,FL)",28.5406621,-81.5684275
"Monsignor Edward Pace (Miami,FL)",25.9166201,-80.2531422
"James Martin (Arlington,TX)",32.684543,-97.1800358
"Pickering (Ajax,ON)",43.8508553,-79.0203732
"Cross Creek (Augusta,GA)",33.3926827,-82.0742083
"Westview (San Diego,CA)",32.9242047,-117.1192315
"Etowah (Woodstock,GA)",34.1325126,-84.5171147
"DeKalb County (Smithville,TN)",35.9606185,-85.8141516
"Vestavia Hills (Birmingham,AL)",33.4487183,-86.7877668
"Stillwater (Stillwater,OK)",36.1156071,-97.0583681
"Rancho Bernardo (San Diego,CA)",33.0335773,-117.0805825
"Westminster Christian (Miami,FL)",25.6313466,-80.3025046
"Archbishop McCarthy (Fort Lauderdale,FL)",26.1224386,-80.1373174
"Ernest Righetti (Santa Maria,CA)",34.8844006,-120.4212692
"Burnsville (Burnsville,MN)",44.7182208,-93.2851852
"Chaparral (Scottsdale,AZ)",33.576638,-111.932348
"American Heritage (Plantation,FL)",26.1205009,-80.3108164
"A.B. Lucas (London,ON)",43.0326154,-81.2470937
"Westfield School (Perry,GA)",32.4387444,-83.7609431
"McClancy Memorial (Flushing,NY)",40.7647238,-73.8306716
"Dana Hills (Dana Point,CA)",33.4780083,-117.7003627
"Mater Dei (Santa Ana,CA)",33.7262194,-117.8841454
"Etiwanda (Etiwanda,CA)",34.124946,-117.5235202
"Southmoore (Moore,OK)",35.310857,-97.5152633
"St. Amant (St. Amant,LA)",30.2246409,-90.868986
"Cullman (Cullman,AL)",34.1748208,-86.8436124
"Whitehouse (Whitehouse,TX)",32.2268212,-95.2255041
"Riverview (Riverview,FL)",27.8661364,-82.3264809
