,School
0,"JSerra Catholic (San Juan Capistrano,CA)"
1,"Notre Dame (Sherman Oaks,CA)"
2,"Whiteville (Whiteville,NC)"
5,"North Davidson (Lexington,NC)"
9,"Ballard (Louisville,KY)"
11,"Concordia Lutheran (Spring,TX)"
12,"Carlsbad (Carlsbad,NM)"
13,"Huntington Beach (Huntington Beach,CA)"
18,"Leadership Christian Academy (Guaynabo,PR)"
20,"Valdosta (Valdosta,GA)"
25,"McGill-Toolen (Mobile,AL)"
28,"West Orange (Winter Garden,FL)"
31,"Monsignor Edward Pace (Miami,FL)"
33,"James Martin (Arlington,TX)"
36,"Pickering (Ajax,ON)"
38,"Cross Creek (Augusta,GA)"
39,"Westview (San Diego,CA)"
40,"Etowah (Woodstock,GA)"
41,"DeKalb County (Smithville,TN)"
45,"Vestavia Hills (Birmingham,AL)"
47,"Stillwater (Stillwater,OK)"
49,"Rancho Bernardo (San Diego,CA)"
51,"Westminster Christian (Miami,FL)"
52,"Archbishop McCarthy (Fort Lauderdale,FL)"
53,"Ernest Righetti (Santa Maria,CA)"
54,"Burnsville (Burnsville,MN)"
57,"Chaparral (Scottsdale,AZ)"
58,"American Heritage (Plantation,FL)"
59,"A.B. Lucas (London,ON)"
62,"Westfield School (Perry,GA)"
63,"McClancy Memorial (Flushing,NY)"
65,"Dana Hills (Dana Point,CA)"
68,"Mater Dei (Santa Ana,CA)"
70,"Etiwanda (Etiwanda,CA)"
71,"Southmoore (Moore,OK)"
75,"St. Amant (St. Amant,LA)"
76,"Cullman (Cullman,AL)"
77,"Whitehouse (Whitehouse,TX)"
79,"Riverview (Riverview,FL)"
80,"Francis Parker (San Diego,CA)"
81,"Milton Academy (Hingham,MA)"
84,"West Monroe (West Monroe,LA)"
95,"Lone Peak (Alpine,UT)"
101,"Carlos Beltran Baseball Academy (Florida,PR)"
106,"The First Academy (orlando,FL)"
107,"Canterbury School (Fort Myers,FL)"
111,"Lawton Chiles (Tallahassee,FL)"
113,"Mundelein (Mundelein,IL)"
114,"Roosevelt (Des Moines,IA)"
121,"Rockwall-Heath (Rockwall,TX)"
127,"Clements School (Sugar Land,TX)"
129,"Park Vista Community (Lake Worth,FL)"
133,"TNXL Academy (Longwood,Fl)"
137,"South Anchorage (Anchorage,AK)"
140,"Colegio Hector Urdaneta (Ceiba,PR)"
141,"Millville (Millville,NJ)"
142,"Locust Grove (Locust Grove,OK)"
143,"Immaculata (Somerville,NJ)"
144,"T.R. Miller (Brewton,AL)"
150,"Bassett (Bassett,VA)"
154,"Suwannee (Live Oak,FL)"
157,"Seven Lakes (Katy,TX)"
160,"Heritage (Colleyville,TX)"
164,"PJ Education School (Carolina,PR)"
165,"Puerto Rico Baseball Academy (Gurabo,PR)"
177,"Tracy (Tracy,CA)"
183,"Winter Haven (Winter Haven,FL)"
194,"Palm Desert (Palm Desert,CA)"
220,"IMG Academy (Bradenton,FL)"
232,- ()
236,"Curtis (University Place,WA)"
